"site_id";"lat";"long";"region_site";"dataset_sites";"locality"
"costa_rica-isla_ballena_ne";9.10883333333333;-83.7298055555556;"costa_rica-isla_ballena_ne";"franz";NA
"costa_rica-isla_manuelita_adentro";5.56186111111111;-87.0469166666667;"costa_rica-isla_manuelita_adentro";"franz";NA
"costa_rica-isla_manuelita_afuera";5.56095;-87.04851;"costa_rica-isla_manuelita_afuera";"franz";NA
"costa_rica-manuelita";5.56187;-87.04693;"costa_rica-manuelita";"franz";NA
"costa_rica-isla_del_cano_sur";8.69830555555555;-83.8890833333333;"costa_rica-isla_del_cano_sur";"franz";NA
"costa_rica-dos_amigos_pequeno";5.50883333333333;-87.1131388888889;"costa_rica-dos_amigos_pequeno";"franz";NA
"costa_rica-sandalo_1";8.57886111111111;-83.3510833333333;"costa_rica-sandalo_1";"franz";NA
"costa_rica-cocos";5.5287;-87.06;"costa_rica-cocos";"metadata";"cocos"
"costa_rica-isla_vikinga_cascara";5.549556;-87.0645;"costa_rica-isla_vikinga_cascara";"metadata";"cocos"
"costa_rica-el_arbolito_2";9.222944;-83.846056;"costa_rica-el_arbolito_2";"metadata";"dominical"
"costa_rica-golondrinas";10.51415;-85.56485;"costa_rica-golondrinas";"metadata";"islas_murcielago"
"costa_rica-mortero";9.4546;-84.53399;"costa_rica-mortero";"metadata";"islas_tortuga"
"costa_rica-punta_bejuco";9.48555;-85.20022;"costa_rica-punta_bejuco";"metadata";"coyote"
"costa_rica-san_pedrito";10.52315;-85.53982;"costa_rica-san_pedrito";"metadata";"islas_murcielago"
"costa_rica-tombolo_noreste_1";9.142278;-83.75675;"costa_rica-tombolo_noreste_1";"metadata";"pn_marino_ballena"
"costa_rica-tombolo_sur";9.146972;-83.767306;"costa_rica-tombolo_sur";"metadata";"pn_marino_ballena"
"costa_rica-isla_san_pedrito";10.8558527777778;-85.9511777777778;"costa_rica-isla_san_pedrito";"lab";"islas_murcielago"
"costa_rica-isla_catalina";10.8560138888889;-85.9298194444444;"costa_rica-isla_catalina";"lab";"islas_murcielago"
"costa_rica-isla_las_golondrinas";10.8569388888889;-85.9422194444444;"costa_rica-isla_las_golondrinas";"lab";"islas_murcielago"
"costa_rica-bajo_pochote";10.8574166666667;-85.9210666666667;"costa_rica-bajo_pochote";"lab";"islas_murcielago"
"costa_rica-bajo_la_vita";10.8918833333333;-85.91575;"costa_rica-bajo_la_vita";"lab";"islas_murcielago"
"costa_rica-isla_pelada";10.8719166666667;-85.8997;"costa_rica-isla_pelada";"lab";"islas_murcielago"
"costa_rica-el_refugio";10.8587916666667;-85.908225;"costa_rica-el_refugio";"lab";"islas_murcielago"
"costa_rica-bajo_negro";10.8384;-85.8981666666667;"costa_rica-bajo_negro";"lab";"islas_murcielago"
"costa_rica-mm_2016";10.8587555555556;-85.9119416666667;"costa_rica-mm_2016";"lab";"islas_murcielago"
"costa_rica-cocinera_sur";10.85575;-85.9007166666667;"costa_rica-cocinera_sur";"lab";"islas_murcielago"
"costa_rica-san_jose_norte";10.85665;-85.9249333333333;"costa_rica-san_jose_norte";"lab";"islas_murcielago"
"costa_rica-isla_colorada_este";10.8479833333333;-85.86435;"costa_rica-isla_colorada_este";"lab";"peninsula_sur"
"costa_rica-isla_colorada_sur";10.8419333333333;-85.86055;"costa_rica-isla_colorada_sur";"lab";"peninsula_sur"
"costa_rica-san_jose_sur";10.8594166666667;-85.9232166666667;"costa_rica-san_jose_sur";"lab";"islas_murcielago"
"costa_rica-matapalito";10.9337666666667;-85.79335;"costa_rica-matapalito";"lab";"peninsula_norte"
"costa_rica-isla_leoncillo";10.9387166666667;-85.8018166666667;"costa_rica-isla_leoncillo";"lab";"peninsula_norte"
"costa_rica-isla_los_cabros";10.9466333333333;-85.8310833333333;"costa_rica-isla_los_cabros";"lab";"peninsula_norte"
"costa_rica-puerta_de_la_iglesia";10.8544833333333;-85.9160833333333;"costa_rica-puerta_de_la_iglesia";"lab";"islas_murcielago"
"costa_rica-playas_coloradas";10.8711833333333;-85.8648166666667;"costa_rica-playas_coloradas";"lab";"peninsula_sur"
"costa_rica-los_negritos";10.9187;-85.9026333333333;"costa_rica-los_negritos";"lab";"peninsula_oeste"
"costa_rica-punta_morros";10.9112833333333;-85.9122166666667;"costa_rica-punta_morros";"lab";"peninsula_oeste"
"costa_rica-punta_blanca";10.94725;-85.8838166666667;"costa_rica-punta_blanca";"lab";"peninsula_oeste"
"costa_rica-pelonas";10.578757;-85.71103;"costa_rica-pelonas";"lab";"bahia_culebra"
"costa_rica-palmitas";10.645021;-85.687132;"costa_rica-palmitas";"lab";"bahia_culebra"
"costa_rica-jicaral";10.619775;-85.676711;"costa_rica-jicaral";"lab";"bahia_culebra"
"costa_rica-matapalo";10.5429374734;-85.7797055322;"costa_rica-matapalo";"lab";"bahia_culebra"
"costa_rica-guiri_guiri";10.614064;-85.690592;"costa_rica-guiri_guiri";"lab";"bahia_culebra"
"costa_rica-el_arbolito";9.2255;-83.846472;"costa_rica-el_arbolito";"lab";"dominical"
"costa_rica-cambutal";9.207278;-83.829194;"costa_rica-cambutal";"lab";"dominical"
"costa_rica-la_viuda";9.15025;-83.782278;"costa_rica-la_viuda";"lab";"marino_ballena"
"costa_rica-bajo_mauren";9.112583;-83.740917;"costa_rica-bajo_mauren";"lab";"marino_ballena"
"costa_rica-bajo_tres_hermanas";9.107;-83.712028;"costa_rica-bajo_tres_hermanas";"lab";"marino_ballena"
"costa_rica-roca_campanario";8.637972;-83.736333;"costa_rica-roca_campanario";"lab";"osa"
"costa_rica-san_josecito";8.670994;-83.718178;"costa_rica-san_josecito";"lab";"osa"
"costa_rica-isla_ballena";9.106611;-83.726167;"costa_rica-isla_ballena";"lab";"marino_ballena"
"costa_rica-tres_hermanas";9.104083;-83.706861;"costa_rica-tres_hermanas";"lab";"marino_ballena"
"costa_rica-cueva_del_tiburon";8.712694;-83.889778;"costa_rica-cueva_del_tiburon";"lab";"isla_del_cano"
"costa_rica-el_jardin";8.715472;-83.874528;"costa_rica-el_jardin";"lab";"isla_del_cano"
"costa_rica-la_catarata";8.706667;-83.866361;"costa_rica-la_catarata";"lab";"isla_del_cano"
"costa_rica-punta_adela";8.655056;-83.296111;"costa_rica-punta_adela";"lab";"golfo_dulce"
"costa_rica-nicuesa";8.657056;-83.274389;"costa_rica-nicuesa";"lab";"golfo_dulce"
"costa_rica-punta_gallardo";8.636333;-83.246139;"costa_rica-punta_gallardo";"lab";"golfo_dulce"
"costa_rica-islotes";8.730417;-83.385472;"costa_rica-islotes";"lab";"golfo_dulce"
"costa_rica-mogos";8.722361;-83.410111;"costa_rica-mogos";"lab";"golfo_dulce"
"costa_rica-bahia_curu";9.793056;-84.917222;"costa_rica-bahia_curu";"lab";"islas_tortuga"
"costa_rica-tiburon";9.763417;-84.897556;"costa_rica-tiburon";"lab";"islas_tortuga"
"costa_rica-el_cirial";9.773472;-84.890583;"costa_rica-el_cirial";"lab";"islas_tortuga"
"costa_rica-el_muneco";9.854944;-85.458972;"costa_rica-el_muneco";"lab";"samara-carrillo"
"costa_rica-punta_carrillo";9.861;-85.486833;"costa_rica-punta_carrillo";"lab";"samara-carrillo"
"costa_rica-punta_el_indio";9.864722;-85.497583;"costa_rica-punta_el_indio";"lab";"samara-carrillo"
"costa_rica-isla_chora";9.863306;-85.515861;"costa_rica-isla_chora";"lab";"samara-carrillo"
"costa_rica-el_cambute";9.7654;-85.275069;"costa_rica-el_cambute";"lab";"coyote"
"costa_rica-punta_islita";9.84585;-85.402811;"costa_rica-punta_islita";"lab";"coyote"
"costa_rica-punta_pleito";10.031311;-85.743931;"costa_rica-punta_pleito";"lab";"san_juanillo"
"costa_rica-el_reloj";9.762778;-84.894417;"costa_rica-el_reloj";"lab";"islas_tortuga"
"costa_rica-bahia_weston";5.552278;-87.050889;"costa_rica-bahia_weston";"lab";"isla_del_coco"
"costa_rica-bahia_yglesias";5.505778;-87.06775;"costa_rica-bahia_yglesias";"lab";"isla_del_coco"
"costa_rica-roca_sumergida";5.504861;-87.055444;"costa_rica-roca_sumergida";"lab";"isla_del_coco"
"costa_rica-rodolitos";5.545917;-87.029083;"costa_rica-rodolitos";"lab";"isla_del_coco"
"costa_rica-isla_ulloa";5.551444;-87.032444;"costa_rica-isla_ulloa";"lab";"isla_del_coco"
"costa_rica-punta_leonel";5.519306;-87.095806;"costa_rica-punta_leonel";"lab";"isla_del_coco"
"costa_rica-punta_maria";5.535361;-87.086806;"costa_rica-punta_maria";"lab";"isla_del_coco"
"costa_rica-punta_gissler";5.543361;-87.07175;"costa_rica-punta_gissler";"lab";"isla_del_coco"
"costa_rica-isla_vikinga";5.549556;-87.0645;"costa_rica-isla_vikinga";"lab";"isla_del_coco"
"costa_rica-bahia_wafer";5.545944;-87.062306;"costa_rica-bahia_wafer";"lab";"isla_del_coco"
"costa_rica-roca_sucia";5.548222;-87.081694;"costa_rica-roca_sucia";"lab";"isla_del_coco"
"costa_rica-bahia_chatham";5.552556;-87.040972;"costa_rica-bahia_chatham";"lab";"isla_del_coco"
"costa_rica-piedra_llorona";8.509667;-83.666694;"costa_rica-piedra_llorona";"lab";"osa"
"costa_rica-san_pedrillo";8.613583;-83.738194;"costa_rica-san_pedrillo";"lab";"osa"
"costa_rica-bajo_los_castillo";9.870306;-85.526944;"costa_rica-bajo_los_castillo";"lab";"samara-carrillo"
"costa_rica-punta_cacique";10.574144;-85.698825;"costa_rica-punta_cacique";"lab";"bahia_culebra"
"costa_rica-palmares_ii";10.644422;-85.687189;"costa_rica-palmares_ii";"lab";"bahia_culebra"
"costa_rica-bajo_percy";10.578069;-85.709303;"costa_rica-bajo_percy";"lab";"bahia_culebra"
"costa_rica-playa_blanca";10.610869;-85.686039;"costa_rica-playa_blanca";"lab";"bahia_culebra"
"costa_rica-caletas_i";10.591764;-85.676097;"costa_rica-caletas_i";"lab";"bahia_culebra"
"costa_rica-cabeza_de_mono";10.610481;-85.701542;"costa_rica-cabeza_de_mono";"lab";"bahia_culebra"
"costa_rica-bajo_argentina";10.578931;-85.712642;"costa_rica-bajo_argentina";"lab";"bahia_culebra"
"costa_rica-bajo_mero";10.610825;-85.679086;"costa_rica-bajo_mero";"lab";"bahia_culebra"
"costa_rica-esmeralda";10.5929710442;-85.6700841615;"costa_rica-esmeralda";"lab";"bahia_culebra"
"costa_rica-cacique";10.573694;-85.69905;"costa_rica-cacique";"lab";"bahia_culebra"
"costa_rica-sandalo";8.578861;-83.351083;"costa_rica-sandalo";"lab";"golfo_dulce"
"costa_rica-burbujas";8.496694;-83.262583;"costa_rica-burbujas";"lab";"golfo_dulce"
"costa_rica-bajo_diablo";8.707844;-83.905975;"costa_rica-bajo_diablo";"lab";"isla_del_cano"
"costa_rica-bajo_alcyone";5.505792;-87.031193;"costa_rica-bajo_alcyone";"lab";"isla_del_coco"
"costa_rica-hume";9.702068;-84.670086;"costa_rica-hume";"lab";"punta_leona"
